"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-18","    0","    0",,,,"0.00",,"0.0","0.0",,"66","31",,"  360",,,,,"29.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-19","   30","   40",,,,"0.00",,"0.0","0.0",,"56","18",,"   60",,,,,"17.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-20","  100","  100",,,,"0.00",,"0.0","0.0",,"52","27",,"  180",,,,,"16.1",,,,,,,,,,,,,,,,,,"    1",,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-21","  100","  100",,,,"0.01",,"0.0","0.0",,"47","35",,"  210",,,,,"19.9",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-22","   90","  100",,,,"0.05",,"0.0","0.0",,"54","35",,"  230",,,,,"16.1",,,,"    1",,,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-23","   80","  100",,,,"0.00",,"0.0","0.0",,"47","30",,"   40",,,,,"16.1",,,,"    1","    1",,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-24","   70","   70",,,,"0.01",,"0.0","0.0",,"61","31",,"  140",,,,,"36.0",,,,"    1","    1",,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-25","   30","   50",,,,"0.00",,"0.0","0.0",,"56","29",,"   50",,,,,"19.9",,,,"    1","    1",,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-26","   50","   50",,,,"0.00",,"0.0","0.0",,"68","31",,"  260",,,,,"16.1",,,,"    1",,,,,,,"    1",,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-27","   90","  100",,,,"0.00",,"0.0","0.0",,"64","34",,"  200",,,,,"17.0",,,,,,,,,,,"    1",,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-02-28","   80","   80",,,,"0.00",,"0.0","0.0",,"75","43",,"  230",,,,,"19.9",,,,"    1","    1",,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-01","   40","   50",,,,"0.00",,"0.0","0.0",,"72","48",,"  220",,,,,"21.9",,,,"    1",,,,,,,"    1",,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-02","   60","   60",,,,"0.00",,"0.0","0.0",,"73","45",,"  240",,,,,"29.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-03","   10","   10",,,,"0.00",,"0.0","0.0",,"69","39",,"  270",,,,,"28.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-04","   50","   90",,,,"0.00",,"0.0","0.0",,"65","29",,"  140",,,,,"14.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-05","   70","  100",,,,"0.11",,"0.0","0.0",,"68","33",,"   40",,,,,"17.0",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-06","  100","  100",,,,"0.94",,"0.0","0.0",,"48","42",,"   50",,,,,"25.9",,,,"    1",,"    1",,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-07","   70","   80",,,,"0.06",,"0.0","0.0",,"57","42",,"   40",,,,,"14.1",,,,"    1",,,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-08","   10","   10",,,,"0.00",,"0.0","0.0",,"71","36",,"  200",,,,,"17.9",,,,"    1",,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-09","   80","   90",,,,"0.00",,"0.0","0.0",,"75","37",,"  270",,,,,"25.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-10","  100","  100",,,,"0.00",,"0.0","0.0",,"38","28",,"   30",,,,,"21.9",,,,"    1",,,,,,,,,,,,,,,,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-11","  100","  100",,,,"0.12",,"1.2","0.0",,"33","27",,"   10",,,,,"17.9",,,,"    1",,,,,,,,,,,,,,,,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-12","   60","   80",,,,"0.00",,"0.0","1.0",,"35","21",,"  350",,,,,"21.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-13","   20","   30",,,,"0.00",,"0.0","0.0",,"60","22",,"  250",,,,,"14.1",,,,"    1",,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-14","   10","   10",,,,"0.00",,"0.0","0.0",,"69","29",,"  360",,,,,"16.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-15","   80","  100",,,,"0.00",,"0.0","0.0",,"72","34",,"  180",,,,,"23.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-16","   90","  100",,,,"0.10",,"1.0","0.0",,"51","29",,"   30",,,,,"25.9",,,,"    1",,,,,,,,,,,,,,"    1",,"    1",,,
